Task,Start Time,End Time,Arrival Time,Size,Duration,Waiting Time,Interruptions,Status
Subgraph_2,0.0,0.0,0,6,0.0,0.0,1,not arrived
Subgraph_2_sub,0.0,0.00012636184692382812,0,1,0.00012636184692382812,0.0,0,done
Subgraph_2_sub,0.00012636184692382812,0.0007581710815429688,0,5,0.0006318092346191406,0.00012636184692382812,0,done
Subgraph_3,0.0,0.0007581710815429688,0,6,0.0,0.0,1,not arrived
Subgraph_3_sub,0.0007581710815429688,0.0008846918741861979,0,1,0.00012652079264322916,0.0007581710815429688,0,done
Subgraph_3_sub,0.0008846918741861979,0.0015172958374023438,0,5,0.0006326039632161459,0.0008846918741861979,0,done
Subgraph_0,0.0,0.0015172958374023438,0,6,0.0,0.0,1,not arrived
Subgraph_0_sub,0.0015172958374023438,0.0017194747924804688,0,1,0.000202178955078125,0.0015172958374023438,0,done
Subgraph_0_sub,0.0017194747924804688,0.0027303695678710938,0,5,0.001010894775390625,0.0017194747924804688,0,done
Subgraph_1,0.0,0.0027303695678710938,0,6,0.0,0.0,1,not arrived
Subgraph_1_sub,0.0027303695678710938,0.002890507380167643,0,1,0.00016013781229654947,0.0027303695678710938,0,done
Subgraph_1_sub,0.002890507380167643,0.0036911964416503906,0,5,0.0008006890614827474,0.002890507380167643,0,done
